id,itemLabel,partyLabel,areaLabel,gender
384,MWABA KAZADI Tony,UDPS/Tshisekedi,LUKUNGA,male
385,MWADI KADIATA Olga,UDPS/Tshisekedi,LUBUMBASHI VILLE,female
386,MWAMBA BANZA Odette,AAB,KABONGO,female
387,MWAMBA MANGBENZA Roger,ACO,BOMONGO,male
388,MWAMBA MUKENGE Emile,MIP,LUBUMBASHI VILLE,male
389,MWANDO NSIMBA KABULO Christian,G7,MOBA,male
390,MWANGACHUCHU HIZI Edouard,ACO,MASISI,male
391,MWANZA HAMISI SINGOMA,AAB,NYIRAGONGO,male
392,MWENZE WAKADILO Rosen,AFDC-A,BUKAMA,male
393,MWEPU KIBANDA Yvonne,PALU&Alliés,KASENGA,female
394,MWILANYA WILONDJA Nehémie,PCD,FIZI,male
395,NAWEJ MUNDELE Charles,AAAC,KAHEMBA,male
396,NDAMBIRE MAKUHA Stive,AAB,BENI,male
397,N'DAMBU WOLANG Richard,AAB,IDIOFA,male
398,NDAYISIMYE HARERIMANA Justin,ADRP,MASISI,male
399,NDENGO BAPALEMBI Ernest,G7,KUNGU,male
400,NDJOLOKO TAMBWE BATHE,PPPD,PANGI,male
