item,itemLabel,party,partyLabel,area,areaLabel,startDate,endDate,gender,psid
Q112262801,BEROCAN KERAURE Nono,,,,,2012-02-16,2019-01-28,male,Q112262801-AAC0350B-3CB6-4620-AD6D-CC4F82144E93
Q106904755,BIALOSUKA WATA Jonathan,,,,,2012-02-16,2019-01-28,male,Q106904755-CE102788-FDAB-4AC9-921F-8DED8B31BA11
Q112262802,BIANDO SANGO NZUAMBE Bernard,Q144806,Movement for the Liberation of the Congo,,,2012-02-16,2019-01-28,male,Q112262802-E5BFF2DD-3E8F-445F-9D9B-526413DE0A3B
Q20810501,BIGABWA SUKA Tlsphor Arome,,,,,2012-02-16,2019-01-28,male,Q20810501-7B195774-B495-44F7-8B13-C475EC176B46
Q20740642,BITAKWIRA BIHONA-HAYI Justin,,,,,2012-02-16,2019-01-28,male,Q20740642-BF95780B-848C-40C3-85FF-AC1F4FDBA1C6
Q18353237,BOJI SANGARA BAMANYIRWE Aime,,,,,2012-02-16,2019-01-28,male,Q18353237-2A7F7484-6D2A-40AC-B603-88A00F289173
Q105946534,BOKOLE OMPOKA Jean Pierre,,,,,2012-02-16,2019-01-28,male,Q105946534-2F5E0DD7-CE6B-46C1-BE26-F86338175A77
Q112262803,BOKOLO NYASWA Vicky,Q144806,Movement for the Liberation of the Congo,,,2012-02-16,2019-01-28,male,Q112262803-3D343D86-6599-4D2B-B31F-B1CFC296D33F
Q20810516,BOKOLOMBE BATULI Sam,,,,,2012-02-16,2019-01-28,male,Q20810516-992EC9C3-45DF-4742-8291-918F66B32646
Q112262804,BOKONA WIPA BONZALI Franois,Q1235589,People's Party for Reconstruction and Democracy,,,2012-02-16,2019-01-28,male,Q112262804-605B57B9-8D8F-4845-9432-3218FDF10E14
Q112262805,BOKONDA BALELA Faustin,,,,,2012-02-16,2019-01-28,male,Q112262805-11F0105A-67DC-4E80-AB67-81BC3BB57929
Q112262806,BOKUMWANA MAPOSO Elyse,Q144806,Movement for the Liberation of the Congo,,,2012-02-16,2019-01-28,male,Q112262806-90E78292-9FE7-4B86-A4A5-D1BB43A9C131
Q112262807,BOLENGE BOPONDE Gabriel,,,,,2012-02-16,2019-01-28,male,Q112262807-10DA37C5-BE8D-4329-A57A-B6EBDE542595
Q112262808,BOLENGETENGE BALEA Dieudonn,Q3326837,Social Movement for Renewal,,,2012-02-16,2019-01-28,male,Q112262808-B55CDC08-DB05-48DD-BC9E-DC484F6A0D6A
Q112262809,BOLOGNA RAFIKI Patrick,,,,,2012-02-16,2019-01-28,male,Q112262809-00E0930F-0A01-4580-AB2E-07A106988308
Q112262810,BOMBELOSANDA BALUMA Patrick,Q1235589,People's Party for Reconstruction and Democracy,,,2012-02-16,2019-01-28,male,Q112262810-B10157D5-25F1-4CC7-9421-929B9FAA6D65
Q112262811,BOMPINI BALINGA Michel,Q3326837,Social Movement for Renewal,,,2012-02-16,2019-01-28,male,Q112262811-E275C74A-37A9-4F8F-A852-BCA6EBF27DCD
Q112262812,BONDOMISO BEBISYAME Clestin,,,,,2012-02-16,2019-01-28,male,Q112262812-2A8AE551-F256-4DA6-A498-3783DB993286
Q112262813,BOONGO NKOY Pancrace,Q1235589,People's Party for Reconstruction and Democracy,,,2012-02-16,2019-01-28,male,Q112262813-E498866D-82EE-454C-9F11-11B28B51E341
Q112262814,BOPOLO MBONGEZA Robert,,,,,2012-02-16,2019-01-28,male,Q112262814-404F0641-0E2B-4D1B-9EA7-5A904982B9E2
